Model Name,Manufacturer,Registered In,Model Date,Fuel Type,Transmission,Color,Body Type,Engine Displacement,Driven,Price
Sportage AWD,KIA,punjab,2021,Petrol,Automatic,Black,Crossover,2000,37000,7100000
Corolla GLi 1.3 VVTi,Toyota,punjab,2015,Petrol,Manual,Grey Graphite,Sedan,1300,116000,3450000
FX GA,Suzuki,punjab,2015,Petrol,Manual,Dark Blue,Hatchback,800,200000,315000
Civic EX,Honda,punjab,1995,Petrol,Manual,White,Sedan,1500,8000,1050000
Mira B SA III,Daihatsu,punjab,2021,Petrol,Automatic,Silver,Hatchback,660,89000,3199000
Spacia X,Suzuki,punjab,2021,Hybrid,Automatic,White,Station Wagon,660,12000,3075000
Civic VTi Oriel Prosmatec 1.8 i-VTEC,Honda,punjab,2015,Petrol,Automatic,White,Sedan,1800,87000,3800000
City 1.3 i-VTEC,Honda,punjab,2015,Petrol,Manual,Black,Sedan,1300,103000,3195000
Corolla GLi 1.3 VVTi,Toyota,punjab,2016,Petrol,Manual,White,Sedan,1300,87000,4000000
Aqua G,Toyota,punjab,2018,Hybrid,Automatic,Silver,Hatchback,1500,94150,5800000
Alto VX,Suzuki,punjab,2021,Petrol,Manual,Graphite Grey,Hatchback,660,73000,2300000
Moco G,Nissan,punjab,2007,Petrol,Automatic,Silver,Hatchback,660,118000,1825000
Move X Limited,Daihatsu,punjab,2014,Petrol,Automatic,Black,Hatchback,660,162700,2100000
Alto VXR,Suzuki,punjab,2024,Petrol,Manual,Solid White,Hatchback,660,31000,2755000
City i-DSI,Honda,punjab,2007,Petrol,Manual,Metallic Grey,Sedan,1300,140000,2750000
Baleno JXR,Suzuki,punjab,2004,Petrol,Manual,White,Sedan,1300,226000,1295000
Prius G Touring Selection 1.8,Toyota,punjab,2011,Hybrid,Automatic,Aqua Blue Metallic,Sedan,1800,196553,3950000
Alto VXR,Suzuki,punjab,2005,Petrol,Manual,White,Hatchback,1000,12345,930000
Corolla Altis Cruisetronic 1.8,Toyota,punjab,2009,Petrol,Automatic,Bronze,Sedan,1800,150000,3450000
Yaris Sedan GLI CVT 1.3,Toyota,punjab,2024,Petrol,Automatic,White,Sedan,1300,19000,4700000
Mehran VXR Euro II,Suzuki,punjab,2014,Petrol,Manual,Graphite Grey,Hatchback,796,70000,1150000
City Aspire Prosmatec 1.3 i-VTEC,Honda,punjab,2014,Petrol,Automatic,Maroon,Sedan,1300,110000,3050000
City 1.3 i-VTEC,Honda,punjab,2012,Petrol,Manual,Ralley Red,Sedan,1300,109174,2750000
Alto VXL AGS,Suzuki,punjab,2024,Petrol,Automatic,Solid White,Hatchback,660,17000,3095000
Corolla Altis Automatic 1.6,Toyota,punjab,2016,Petrol,Automatic,Attitude Black,Sedan,1600,225000,4050000
Elantra GLS,Hyundai,punjab,2022,Petrol,Automatic,Graphite Grey,Sedan,2000,34500,6175000
Vezel Hybrid Z,Honda,punjab,2014,Hybrid,Automatic,Gunmetal Gray,Crossover,1500,82000,4450000
Taft X Turbo,Daihatsu,punjab,2020,Petrol,Automatic,Metallic Black,Mini Vehicles,660,45000,3250000
Stonic EX+,KIA,punjab,2022,Petrol,Automatic,Mercury Blue,Crossover,1400,26800,4990000
